滑翔翼,"<img src=""滑翔翼.jpg""/>{{c1::滑翔翼}}",<div>滑翔翼</div><div>電聯車</div><div>牽引機</div><div>貨車</div>
火箭,"<img src=""火箭.jpg""/>{{c1::火箭}}",<div>火箭</div><div>腳踏車</div><div>直升機</div><div>貨車</div>
火車,"<img src=""火車.jpg""/>{{c1::火車}}",<div>火車</div><div>牽引機</div><div>直升機</div><div>計程車</div>
熱氣球,"<img src=""熱氣球.jpg""/>{{c1::熱氣球}}",<div>熱氣球</div><div>貨櫃船</div><div>腳踏車</div><div>飛機</div>
牽引機,"<img src=""牽引機.jpg""/>{{c1::牽引機}}",<div>牽引機</div><div>高速列車</div><div>油罐車</div><div>摩托車</div>
獨木舟,"<img src=""獨木舟.jpg""/>{{c1::獨木舟}}",<div>獨木舟</div><div>貨櫃車</div><div>太空梭</div><div>火車</div>
直升機,"<img src=""直升機.jpg""/>{{c1::直升機}}",<div>直升機</div><div>輕型飛機</div><div>卡車</div><div>吉普車</div>
纜車,"<img src=""纜車.jpg""/>{{c1::纜車}}",<div>纜車</div><div>電聯車</div><div>火車</div><div>飛機</div>
腳踏車,"<img src=""腳踏車.jpg""/>{{c1::腳踏車}}",<div>腳踏車</div><div>油罐車</div><div>休旅車</div><div>火車</div>
計程車,"<img src=""計程車.jpg""/>{{c1::計程車}}",<div>計程車</div><div>賽車</div><div>鏟雪車</div><div>帆船</div>
貨櫃船,"<img src=""貨櫃船.jpg""/>{{c1::貨櫃船}}",<div>貨櫃船</div><div>起重機</div><div>獨木舟</div><div>高速列車</div>
貨櫃車,"<img src=""貨櫃車.jpg""/>{{c1::貨櫃車}}",<div>貨櫃車</div><div>牽引機</div><div>拖吊車</div><div>貨櫃船</div>
貨車,"<img src=""貨車.jpg""/>{{c1::貨車}}",<div>貨車</div><div>傾卸卡車</div><div>帆船</div><div>雙層巴士</div>
賽車,"<img src=""賽車.jpg""/>{{c1::賽車}}",<div>賽車</div><div>吉普車</div><div>火車</div><div>汽車</div>
起重機,"<img src=""起重機.jpg""/>{{c1::起重機}}",<div>起重機</div><div>淺水艇</div><div>牽引機</div><div>卡車</div>
輕型飛機,"<img src=""輕型飛機.jpg""/>{{c1::輕型飛機}}",<div>輕型飛機</div><div>拖吊車</div><div>垃圾車</div><div>娃娃車</div>
遊艇,"<img src=""遊艇.jpg""/>{{c1::遊艇}}",<div>遊艇</div><div>纜車</div><div>郵輪</div><div>摩托車</div>
郵政車,"<img src=""郵政車.jpg""/>{{c1::郵政車}}",<div>郵政車</div><div>油罐車</div><div>遊艇</div><div>拖船</div>
郵輪,"<img src=""郵輪.jpg""/>{{c1::郵輪}}",<div>郵輪</div><div>壓路機</div><div>堆高機</div><div>拖船</div>
鏟雪車,"<img src=""鏟雪車.jpg""/>{{c1::鏟雪車}}",<div>鏟雪車</div><div>貨櫃車</div><div>賽車</div><div>郵輪</div>
雙層巴士,"<img src=""雙層巴士.jpg""/>{{c1::雙層巴士}}",<div>雙層巴士</div><div>飛行傘</div><div>壓路機</div><div>直升機</div>
電聯車,"<img src=""電聯車.jpg""/>{{c1::電聯車}}",<div>電聯車</div><div>纜車</div><div>帆船</div><div>淺水艇</div>
飛機,"<img src=""飛機.jpg""/>{{c1::飛機}}",<div>飛機</div><div>直升機</div><div>鏟雪車</div><div>計程車</div>
飛行傘,"<img src=""飛行傘.jpg""/>{{c1::飛行傘}}",<div>飛行傘</div><div>卡車</div><div>雙層巴士</div><div>拖船</div>
高速列車,"<img src=""高速列車.jpg""/>{{c1::高速列車}}",<div>高速列車</div><div>腳踏車</div><div>火車</div><div>直升機</div>
